Full Name,Date of Birth,Date of Death,Nationality,Home City,Occupation,Employer
Linda Ruiz,12/22/1986,,Indonesia,Maguan,Speech Pathologist,Jerde Inc
Linda Russell,12/05/1952,,Finland,Kempele,Social Worker,Leannon and Sons
Linda Ryan,12/05/1929,,Tanzania,Matai,Mechanical Systems Engineer,Hackett Inc
Linda Sanders,09/20/1975,,Greece,GaÃ¯tÃ¡nion,Nurse Practicioner,Schamberger Inc
Linda Schmidt,03/03/1966,,China,Poxi,Administrative Assistant IV,VonRueden and Sons
Linda Scott,05/02/1959,,China,Mali,Nurse Practicioner,Koch Group
Linda Shaw,11/24/1970,03/27/1996,Brazil,PinhÃ£o,Electrical Engineer,"Trantow, Keeling and Hagenes"
Linda Simmons,08/23/1977,,China,Fengdian,Database Administrator I,Goodwin-Purdy
Linda Simpson,11/11/1922,03/06/1994,Poland,Ujazd,Staff Accountant III,Fritsch LLC
Linda Smith,02/25/1984,,China,Lianghe,Research Nurse,Reynolds and Sons
Linda Snyder,11/28/1968,,Democratic Republic of the Congo,Bolobo,VP Marketing,O'Kon-Toy
Linda Spencer,04/02/1980,,Israel,Haifa,Operator,Kunze and Sons
Linda Stevens,02/12/1973,,Philippines,Tambac,Structural Analysis Engineer,Barrows-Harris
Linda Stone,07/30/1963,,Russia,Shalakusha,Software Test Engineer III,"Mraz, Hagenes and Mraz"
Linda Sullivan,05/30/1986,,Cyprus,ÃÅgios TÃ_chon,Assistant Manager,Mann-Abernathy
Linda Taylor,06/10/1954,10/08/1993,Russia,Pitkyaranta,Electrical Engineer,Rosenbaum-Welch
Linda Thomas,02/04/1962,,Poland,PogÃ_rze,Executive Secretary,"Collins, D'Amore and Sauer"
Linda Thompson,06/18/1920,03/30/1999,China,Baoâ€™an,Assistant Media Planner,Carroll Inc
Linda Torres,03/14/1933,,United States,Naples,GIS Technical Architect,"Wilkinson, Kuhlman and Ferry"
Linda Tucker,02/05/1967,,Pakistan,Khairpur Nathan ShÄÅh,Database Administrator IV,Hessel Group
Linda Turner,09/30/1920,,Sudan,Al FÅ«lah,Environmental Tech,Cronin-Toy
Linda Vasquez,09/28/1987,,Botswana,Letlhakane,Geologist II,"Von, Kirlin and Bartell"
Linda Wagner,08/05/1925,,Philippines,Naghalin,Legal Assistant,"Johns, Blanda and Thompson"
Linda Walker,11/21/1980,,Russia,Glotovka,Media Manager III,Lakin-Crooks
Linda Wallace,01/20/1964,12/24/1989,Norway,Oslo,Payment Adjustment Coordinator,Marvin Inc
Linda Ward,06/10/1952,,China,Mengjia,Statistician IV,Brekke-Pouros
Linda Warren,11/05/1938,,Philippines,Bailan,Programmer IV,Osinski Group
Linda Washington,10/29/1970,,Brazil,Itabirito,Human Resources Manager,"McClure, Rice and Pollich"
Linda Watkins,03/16/1955,03/01/1994,Indonesia,Sijunjung,Geological Engineer,"Muller, Kuvalis and Blanda"
Linda Weaver,02/11/1937,,Indonesia,Bombu,Junior Executive,Gutmann-Feil
Linda Webb,03/18/1963,,Mexico,Vicente Guerrero,Director of Sales,Blanda LLC
Linda Welch,03/05/1918,,Bahrain,Al Muharraq,Editor,Rutherford-Tillman
Linda Wells,11/05/1924,,United States,Portland,Chief Design Engineer,Jacobs-Hammes
Linda West,02/22/1976,,Mongolia,Bayan,Chief Design Engineer,"Hansen, Brown and Koch"
Linda Wheeler,09/02/1926,,Paraguay,Naranjal,Account Representative IV,"Durgan, Hintz and Larkin"
Linda White,12/16/1939,,Colombia,SonsÃ_n,Editor,Sauer LLC
Linda Williamson,05/21/1919,,China,Sanjiang,Systems Administrator III,Fay Inc
Linda Willis,09/14/1932,07/08/2010,United States,Tulsa,Account Executive,Lemke-Schaefer
Linda Wilson,05/08/1927,05/16/2007,Malaysia,Kuala Lumpur,Account Coordinator,Stoltenberg-Gerhold
Linda Wood,09/26/1980,,Philippines,Santo NiÃ±o,Clinical Specialist,Green Inc
Linda Woods,06/14/1918,,Indonesia,Nangger,Senior Financial Analyst,"Stokes, Mertz and Kuhlman"
Linda Wright,03/29/1950,,Guam,Yigo Village,Recruiter,Powlowski Inc
Linda Young,09/25/1979,06/06/1991,Colombia,MÃ¡laga,VP Product Management,"Hammes, Howell and Rohan"
Lisa Adams,11/15/1969,,China,Yushan,Biostatistician IV,"Lockman, Oberbrunner and Runte"
Lisa Alexander,10/31/1979,,China,Toubao,Software Engineer III,Hagenes Group
Lisa Allen,04/02/1925,,Greece,NestÃ_rio,Database Administrator II,"Smith, Borer and Rath"
Lisa Alvarez,04/05/1948,,Czech Republic,HavlÃ_ÄçkÅ¯v Brod,Assistant Professor,Kerluke LLC
Lisa Anderson,10/05/1985,,China,Qiankou,Budget/Accounting Analyst II,Dare-Kuphal
Lisa Andrews,11/28/1930,,Serbia,Margita,Compensation Analyst,"Dibbert, Littel and Labadie"
Lisa Armstrong,02/20/1956,,Indonesia,Momanalu,Database Administrator IV,Bayer-Koch
Lisa Arnold,09/28/1967,,Indonesia,Peuara,Electrical Engineer,Adams-Dach
Lisa Austin,03/17/1984,,Portugal,Montes,Nurse,"Kirlin, Satterfield and Littel"
Lisa Bailey,02/04/1951,06/26/2002,China,Qiashui,VP Product Management,Turcotte-Roberts
Lisa Baker,04/28/1974,,Australia,Sydney,Programmer I,"Nicolas, Witting and Tremblay"
Lisa Banks,05/31/1955,,Brazil,Estrela,Account Representative III,"Turner, Doyle and Graham"
Lisa Barnes,06/02/1966,,Philippines,Cumadcad,Nurse,Kunze LLC
Lisa Bell,12/24/1946,,Ghana,Akim Oda,Design Engineer,"Ruecker, VonRueden and Ruecker"
Lisa Bennett,03/10/1954,,Brazil,GoianÃ©sia,Senior Developer,Gusikowski-Lemke
Lisa Berry,03/02/1944,,China,Sangzhou,Dental Hygienist,Thiel-Kutch
Lisa Bishop,07/07/1920,,Burkina Faso,Ouahigouya,Mechanical Systems Engineer,"Breitenberg, Ferry and Kshlerin"
Lisa Black,04/18/1933,,China,Donghai,Assistant Manager,Lesch-Wunsch
Lisa Bowman,10/25/1965,,China,Kuanghe,Senior Quality Engineer,Rosenbaum-Streich
Lisa Boyd,08/28/1935,,Tanzania,Tandahimba,Staff Accountant I,"McClure, Huel and Cremin"
Lisa Bradley,10/02/1966,,Portugal,FermelÃ£,Senior Editor,Collins-Cummings
Lisa Brooks,06/04/1923,,Russia,Strogino,Assistant Professor,Jenkins LLC
Lisa Bryant,03/30/1953,,Japan,Shimo-furano,Assistant Manager,Feil-Kuvalis
Lisa Burke,02/25/1964,,Sweden,Stockholm,Assistant Media Planner,Boyle and Sons
Lisa Burns,08/29/1921,,Peru,Ccuntuma,Statistician I,"Lang, Dach and Kuhic"
Lisa Burton,12/31/1968,11/05/2007,Sweden,VÃ_llingby,Marketing Manager,Homenick LLC
Lisa Butler,10/25/1981,07/13/1990,Brazil,BraganÃ§a,Administrative Officer,Adams-White
Lisa Campbell,10/10/1977,,Indonesia,Krajan,Programmer Analyst III,"Kunde, Marquardt and Pagac"
Lisa Carpenter,02/16/1985,,Sweden,SkÃ¶vde,VP Accounting,"Abshire, Ledner and Lakin"
Lisa Carr,04/26/1978,,Portugal,AlÃ©m,Software Consultant,Hodkiewicz Group
Lisa Carroll,09/01/1978,,France,Paris 08,Librarian,"Kessler, Brekke and Johns"
Lisa Carter,09/10/1974,01/28/1999,Palestinian Territory,Bayt LÄ«d,VP Quality Control,Cormier LLC
Lisa Chapman,07/16/1917,,Czech Republic,Pacov,Cost Accountant,"Harber, Deckow and Quitzon"
Lisa Chavez,04/01/1948,,China,Ruihong,Senior Editor,Schmeler Inc
Lisa Clark,02/10/1965,,Portugal,CabeÃ§o de Vide,Compensation Analyst,Trantow LLC
Lisa Cole,04/04/1975,,China,Huangben,VP Product Management,Schaden LLC
Lisa Coleman,04/03/1972,,Indonesia,Koroyo,VP Quality Control,"Rau, Donnelly and Blick"
Lisa Collins,10/19/1979,,Canada,Napanee Downtown,Safety Technician I,Frami-Gerhold
Lisa Cook,12/27/1943,,Portugal,Corroios,Civil Engineer,"Welch, Rogahn and Waters"
Lisa Cooper,11/10/1929,,China,Yeliguan,Civil Engineer,Zieme-Little
Lisa Cox,11/21/1984,10/11/2002,China,Changfeng,General Manager,Kulas-Keeling
Lisa Crawford,03/23/1981,,China,Jinhua,Occupational Therapist,Hamill and Sons
Lisa Cruz,01/16/1988,,Netherlands,Hoogeveen,Cost Accountant,Sipes Inc
Lisa Cunningham,03/22/1932,,France,Orly aÃ©rogare,Account Representative III,Farrell-Murphy
Lisa Davis,11/27/1962,,Russia,Ponyri Vtoryye,Analyst Programmer,Senger-Balistreri
Lisa Day,04/01/1972,,China,Longqiao,Office Assistant I,Langosh LLC
Lisa Dean,03/07/1959,,Somalia,Bereeda,Geological Engineer,"O'Reilly, Turner and DuBuque"
Lisa Diaz,01/28/1981,,Japan,Kariya,Actuary,Monahan-Schneider
Lisa Dixon,01/22/1973,,Peru,Combapata,Business Systems Development Analyst,"Kuvalis, Gibson and Goyette"
Lisa Duncan,09/21/1980,,Peru,Mucllo,Computer Systems Analyst III,Herzog-Cruickshank
Lisa Dunn,05/01/1916,,Indonesia,Nangka,Administrative Assistant II,Dickens Inc
Lisa Edwards,04/26/1945,,Russia,Imeni Tsyurupy,Associate Professor,"Boyle, Terry and Fadel"
Lisa Elliott,06/12/1954,,Brazil,Monte Carmelo,Research Nurse,"Schowalter, Hane and Block"
Lisa Evans,08/15/1921,02/26/2002,France,Aix-en-Provence,Research Associate,Wuckert-Corwin
Lisa Ferguson,04/25/1939,,Angola,Benguela,Programmer III,Trantow Group
Lisa Fernandez,04/10/1979,,China,Gutian,Paralegal,"Howell, Bosco and Koepp"
Lisa Fields,08/29/1941,,Russia,Sasovo,Geological Engineer,Boyer Group
Lisa Fisher,03/28/1936,,Nigeria,Mafa,Web Developer IV,Bednar LLC
Lisa Flores,08/02/1988,,Sweden,HÃ¶llviken,Pharmacist,"Rohan, Keebler and Langworth"
Lisa Ford,03/31/1917,,Indonesia,Cerme Kidul,Sales Associate,Runolfsdottir-Johnson
Lisa Fowler,03/03/1959,,China,Gongxi,Cost Accountant,"Becker, Legros and Deckow"
Lisa Fox,01/29/1928,,Indonesia,Datarkadu,Media Manager IV,Herman Group
Lisa Franklin,10/17/1956,05/08/2009,France,Dijon,Computer Systems Analyst IV,"Doyle, Ratke and Friesen"
Lisa Frazier,10/21/1920,,China,Zhijin,Environmental Specialist,Kuhic Inc
Lisa Freeman,06/13/1925,,Indonesia,Batangtoru,Analyst Programmer,Stoltenberg-Mitchell
Lisa Fuller,11/27/1930,,Canada,Smithers,Graphic Designer,Abbott-Erdman
Lisa Garcia,03/05/1960,09/02/2007,Sweden,MÃ¶rrum,Nuclear Power Engineer,Kemmer LLC
Lisa Gardner,03/11/1986,,Austria,Niederwaldkirchen,Internal Auditor,"Bayer, Skiles and Donnelly"
Lisa Garza,09/06/1919,,Philippines,Bual,Senior Financial Analyst,Upton-Bayer
Lisa George,02/22/1929,09/09/1993,Malaysia,Kota Kinabalu,Statistician III,Gutmann and Sons
Lisa Gibson,02/05/1935,,Poland,PaniÃ_wki,Quality Control Specialist,"Nicolas, McGlynn and Lind"
Lisa Gilbert,05/17/1917,,Bosnia and Herzegovina,Rudo,Senior Quality Engineer,Pfannerstill Inc
Lisa Gonzales,03/30/1978,,Philippines,Leon Postigo,Associate Professor,Erdman-Koch
Lisa Gonzalez,06/24/1961,,Macedonia,Gurgurnica,Marketing Assistant,"Wintheiser, Jones and Parisian"
Lisa Gordon,08/12/1982,,Colombia,Pitalito,Associate Professor,Collier-Reichert
Lisa Graham,06/07/1940,,Greece,ÃÅgios AthanÃ¡sios,Information Systems Manager,"Carter, Carroll and Mohr"
Lisa Grant,02/10/1945,,Chile,San Pedro de Atacama,Mechanical Systems Engineer,"Nicolas, Bosco and Howe"
Lisa Gray,03/19/1937,,Brazil,ItaboraÃ_,Graphic Designer,Lueilwitz Inc
Lisa Green,09/18/1959,,Indonesia,Lokokrangan,Sales Representative,Johns LLC
Lisa Greene,04/25/1950,,Russia,Ukhta,Senior Editor,Hilpert-Corwin
Lisa Gutierrez,12/25/1966,,Czech Republic,MiroÅ¡ov,Analyst Programmer,Lang and Sons
Lisa Hall,02/28/1965,11/05/2008,Russia,Kama,Compensation Analyst,Schumm-Mills
Lisa Hansen,07/25/1974,,China,Ehu,VP Accounting,Nitzsche Inc
Lisa Harper,09/28/1981,10/21/2011,Russia,Miass,Paralegal,"Goyette, Abshire and Schulist"
Lisa Harris,12/02/1969,,China,Changning,Account Coordinator,Dicki and Sons
Lisa Harrison,11/06/1938,,Vietnam,La Gi,Payment Adjustment Coordinator,"Sipes, Beatty and Gottlieb"
Lisa Hart,03/25/1921,,Panama,Portobelo,Tax Accountant,"Toy, Langosh and Carroll"
Lisa Harvey,09/19/1938,,Niue,Alofi,Structural Engineer,Gottlieb-Breitenberg
Lisa Hawkins,09/10/1922,,Thailand,Pathum Rat,Tax Accountant,"Mills, Flatley and Johnston"
Lisa Hayes,04/12/1926,,Indonesia,Cintawana,Design Engineer,Feest-Walsh
Lisa Henderson,04/17/1958,,Indonesia,Pamotan,Office Assistant III,"Jerde, Abbott and Steuber"
Lisa Henry,09/15/1983,,Colombia,Arauca,VP Marketing,"Goodwin, Reilly and Brekke"
Lisa Hernandez,05/30/1964,,China,Gaosheng,Programmer Analyst IV,Carroll and Sons
Lisa Hicks,09/12/1923,04/28/2003,Mongolia,Jargalant,Quality Control Specialist,Lockman Inc
Lisa Holmes,02/22/1944,,France,Mantes-la-Jolie,Web Developer III,Hintz-Moen
Lisa Howard,06/25/1950,,Russia,Staronizhestebliyevskaya,Senior Developer,Wolff-Heller
Lisa Howell,10/22/1985,,Tajikistan,AynÃ_,Automation Specialist II,Leannon Inc
Lisa Hudson,10/16/1969,,Panama,GÃ_mez,Legal Assistant,Gerhold-Howell
Lisa Hughes,10/24/1957,,Angola,Lobito,Nurse,"Huels, O'Connell and Hudson"
Lisa Hunter,11/01/1936,,Mongolia,Hashaat,Nurse Practicioner,"Goldner, Labadie and Emard"
Lisa Jackson,06/23/1935,,Poland,PodebÅ‚ocie,Administrative Assistant II,Buckridge-Murray
Lisa Jacobs,05/12/1947,,Philippines,Dawa-Dawa,Environmental Specialist,Schmidt and Sons
Lisa James,02/12/1940,,China,Datong,Account Coordinator,Heidenreich-Dooley
Lisa Jenkins,08/25/1976,,China,Shiren,Project Manager,Konopelski-Stanton
Lisa Johnson,04/08/1934,,Brazil,Matozinhos,Statistician IV,"Prohaska, Carroll and Kulas"
Lisa Johnston,06/21/1935,,Malaysia,Kuala Lumpur,Sales Associate,Wilderman-Wilkinson
Lisa Jones,08/07/1966,,Portugal,Portela,Automation Specialist I,"Volkman, Stark and Emmerich"
Lisa Jordan,07/02/1948,,Indonesia,Borik,Actuary,"O'Connell, Carter and Cole"
Lisa Kelly,02/22/1983,,China,Liangdang Chengguanzhen,VP Quality Control,"Wuckert, Skiles and Satterfield"
Lisa Kim,06/12/1978,,Armenia,Ashtarak,Research Assistant II,Bernier-Willms
Lisa King,12/27/1929,,Namibia,Nkurenkuru,Senior Developer,Wunsch-Schinner
Lisa Knight,02/23/1960,,China,Yueyahe,Graphic Designer,"Raynor, Senger and Russel"
Lisa Lane,08/30/1937,,China,Shuiying,Structural Engineer,Oberbrunner and Sons
Lisa Larson,11/16/1949,,Slovenia,MengeÅ¡,Account Coordinator,"Kreiger, O'Connell and Herman"
Lisa Lawson,05/11/1950,,Pakistan,MehrÄÅbpur,Systems Administrator II,VonRueden Inc
Lisa Lee,02/06/1974,,Haiti,Mirebalais,Operator,"Schroeder, Hagenes and Murphy"
Lisa Lewis,07/30/1971,,Pakistan,Ä€dilpur,Data Coordiator,"Hilll, Paucek and Wunsch"
Lisa Little,01/24/1916,,China,Herong,Safety Technician III,"Nitzsche, Adams and Bednar"
Lisa Long,06/05/1985,,China,Magong,Clinical Specialist,"Ortiz, Aufderhar and McCullough"
Lisa Lopez,02/24/1922,,Ukraine,Shchastya,Software Consultant,Koepp-Schneider
Lisa Lynch,07/29/1976,,China,Tianyi,Tax Accountant,"Kub, Dibbert and Schimmel"
Lisa Marshall,06/19/1941,,China,Zhaigang,Systems Administrator II,"Oberbrunner, Ernser and Padberg"
Lisa Mason,03/19/1953,,China,Yitulihe,Web Designer IV,Weber-Leffler
Lisa Matthews,06/24/1958,,Aland Islands,VÃ¥rdÃ¶,Engineer II,Bogan-Sipes
Lisa Mccoy,04/11/1973,,Zambia,Isoka,Account Executive,Reichel-Blick
Lisa Medina,10/25/1926,,Portugal,Montes Velhos,Senior Sales Associate,Mills-Jakubowski
Lisa Meyer,09/21/1980,,Philippines,Natonin,Software Engineer IV,"Conn, Hegmann and Thompson"
Lisa Miller,02/28/1936,,Mongolia,Holboo,General Manager,Nicolas and Sons
Lisa Mills,06/05/1956,,Russia,Lyskovo,Software Engineer I,"Bailey, Lueilwitz and Hagenes"
Lisa Montgomery,09/17/1976,06/02/1998,Poland,NieborÃ_w,Human Resources Manager,"Kling, Kuphal and Mertz"
Lisa Moore,02/01/1949,,Philippines,Esperanza,Assistant Media Planner,"Howe, Wiza and Roob"
Lisa Morales,12/13/1963,,Afghanistan,Kai,Compensation Analyst,"O'Connell, Rodriguez and Schneider"
Lisa Moreno,09/18/1949,,Indonesia,Sumbergedong,Dental Hygienist,"Bartell, Hermann and Leffler"
Lisa Morgan,02/16/1945,,Poland,CelestynÃ_w,Research Assistant II,Zulauf Group
Lisa Morris,01/08/1956,,Democratic Republic of the Congo,Beni,Marketing Assistant,Roberts-Dietrich
Lisa Morrison,01/28/1953,,Peru,Laraos,Librarian,Wiza-VonRueden
Lisa Murray,03/30/1931,,Indonesia,Totok,Software Consultant,Berge-Jenkins
Lisa Myers,04/22/1966,,Indonesia,Asembagus,Nurse,Kirlin-Shields
Lisa Nelson,10/12/1980,,Sweden,Arvika,Web Designer I,McKenzie and Sons
Lisa Nguyen,01/08/1944,,Philippines,Culianin,Director of Sales,Turcotte LLC
Lisa Nichols,06/11/1965,,Indonesia,Jetis,Physical Therapy Assistant,Hintz-Brekke
Lisa Oliver,07/20/1964,,Finland,PernÃ¥,Administrative Assistant II,Kiehn Inc
Lisa Olson,01/11/1953,,Canada,Mont-Joli,Tax Accountant,Nikolaus-Hane
Lisa Ortiz,01/15/1926,,Philippines,Matalam,Mechanical Systems Engineer,"Metz, Ernser and Hegmann"
Lisa Owens,10/01/1973,,Indonesia,Blora,Chemical Engineer,Nienow-Hills
Lisa Palmer,05/22/1983,,Indonesia,Langsepan,Environmental Specialist,Bernhard Group
Lisa Parker,03/07/1963,,China,Jinshi,Sales Associate,Cormier-Murray
Lisa Payne,09/14/1928,,Guatemala,RÃ_o Hondo,Food Chemist,"DuBuque, Turcotte and Dicki"
Lisa Perez,11/28/1981,,Bulgaria,Debelets,Budget/Accounting Analyst I,"Johnston, Nitzsche and Parisian"
Lisa Perkins,07/17/1956,,China,Jingzhou,Tax Accountant,Zemlak LLC
Lisa Perry,10/22/1916,,Azerbaijan,Lankaran,Internal Auditor,Gislason and Sons
Lisa Peters,04/13/1952,,Ivory Coast,Tanda,Sales Representative,Waters and Sons
Lisa Peterson,09/06/1929,,China,Jagistay,Information Systems Manager,"Gleason, Kuhn and Jaskolski"
Lisa Phillips,07/11/1966,,Philippines,Damulog,Cost Accountant,Reynolds Group
Lisa Pierce,05/31/1955,,Portugal,Boucinhas,VP Sales,"Rodriguez, Hodkiewicz and Blanda"
Lisa Porter,12/03/1929,01/25/1992,Ukraine,Yakymivka,Marketing Manager,Hoppe Group
Lisa Powell,11/30/1976,02/03/2013,Syria,Al GhÄÅriyah,Food Chemist,"Murray, Deckow and Cummings"
Lisa Price,01/21/1951,,China,Yancheng,Marketing Manager,Gulgowski Group
Lisa Ramos,03/19/1940,,Netherlands,Heemskerk,Product Engineer,Weissnat-Weber
Lisa Ray,08/17/1939,04/20/2003,Thailand,Chom Bueng,Nuclear Power Engineer,Ryan-Quigley
Lisa Reed,06/07/1967,,Russia,SuzÃ«mka,Payment Adjustment Coordinator,Kunde-Fadel
Lisa Reid,08/19/1923,,United States,Kingsport,Assistant Media Planner,Keebler and Sons
Lisa Reyes,07/22/1983,,Indonesia,Marang,Sales Representative,"Gerhold, Vandervort and Lind"
Lisa Reynolds,11/06/1949,,Greece,KallithÃ©a,Senior Sales Associate,"Mante, Emmerich and Prosacco"
Lisa Rice,07/04/1928,,Indonesia,Carodok,Budget/Accounting Analyst IV,"Nader, Kuphal and Hermiston"
Lisa Richards,11/29/1934,09/27/2013,United States,Baltimore,Registered Nurse,Abernathy Inc
Lisa Richardson,03/13/1944,,United States,Washington,Desktop Support Technician,"Wehner, O'Connell and Lakin"
Lisa Rivera,01/15/1940,,China,Changjiang,Compensation Analyst,Gutmann Group
Lisa Roberts,08/04/1948,,Ukraine,Yevpatoriya,Chemical Engineer,Ondricka Inc
Lisa Robertson,12/19/1976,,China,Liyang,Research Assistant II,Block-Vandervort
Lisa Robinson,03/01/1924,,France,Paris 17,Pharmacist,"Murray, Homenick and Hansen"
Lisa Rogers,08/12/1974,,Argentina,Villa Ocampo,Mechanical Systems Engineer,Homenick LLC
Lisa Romero,04/19/1957,,Gambia,Bakadagy,Financial Advisor,"Heidenreich, Tremblay and Franecki"
Lisa Rose,09/28/1945,,China,Changlin,Software Engineer I,Dickinson-Fadel
Lisa Ross,01/14/1936,04/25/1993,Hungary,Zselickislak,Staff Accountant I,Murazik Group
Lisa Ruiz,03/14/1936,,China,Qiagai,Social Worker,Bogisich-Klocko
Lisa Ryan,12/08/1915,,China,Xinfeng,Accounting Assistant III,"Balistreri, Kling and Skiles"
Lisa Sanchez,05/14/1937,,Peru,RamÃ_n Castilla,Sales Associate,Padberg-Zboncak
Lisa Sanders,06/25/1948,,Philippines,Estancia,Structural Analysis Engineer,Johns and Sons
Lisa Schmidt,12/18/1931,,Philippines,San Juan,Assistant Manager,Funk-Bruen
Lisa Scott,03/11/1959,,Portugal,Cancela,Internal Auditor,Sanford-Carter
Lisa Shaw,04/22/1972,,China,Qiqian,Staff Accountant IV,Toy-Deckow
Lisa Simmons,10/09/1971,,Nigeria,Nassarawa,Design Engineer,"Hills, Wuckert and Beatty"
Lisa Sims,08/15/1983,,China,Longfeng,GIS Technical Architect,Abshire-Goldner
Lisa Smith,11/11/1964,,Portugal,Ul,Environmental Specialist,Jacobson-Moen
Lisa Spencer,04/02/1937,,Myanmar,Letpandan,GIS Technical Architect,Corwin and Sons
Lisa Stanley,06/19/1964,,Georgia,Tâ€™ianetâ€™i,Office Assistant I,"Rath, Stoltenberg and Franecki"
Lisa Stephens,09/11/1939,,China,Fukou,Mechanical Systems Engineer,"Cremin, Bosco and White"
Lisa Stevens,03/05/1947,04/30/1997,Russia,Shebekino,Senior Quality Engineer,Luettgen-Nader
Lisa Stewart,07/16/1920,,Philippines,Tucdao,Senior Cost Accountant,"Leffler, Carter and Doyle"
Lisa Sullivan,01/14/1956,,Thailand,Si Mahosot,Office Assistant II,Borer-Willms
Lisa Taylor,09/27/1937,,Poland,WleÅ„,Social Worker,"Marvin, Lynch and Doyle"
Lisa Thomas,12/27/1962,,China,Daliang,Compensation Analyst,"Fisher, Reichert and Anderson"
Lisa Thompson,10/21/1924,,Philippines,Matingain,Chemical Engineer,"Block, Dietrich and Reynolds"
Lisa Torres,12/21/1929,,Russia,Sysertâ€™,Research Associate,Labadie-Oberbrunner
Lisa Tucker,07/30/1917,,Serbia,RadenkoviÄ‡,Software Test Engineer IV,"Boyle, Wilderman and Bashirian"
Lisa Turner,03/02/1964,03/02/2002,Russia,Zelenogorsk,Professor,"O'Connell, Farrell and Bergstrom"
Lisa Vasquez,05/31/1934,,China,Yancheng,Administrative Assistant I,Auer-Wiza
Lisa Walker,09/29/1925,,China,Shuihu,Teacher,"Frami, Gaylord and Stokes"
Lisa Wallace,05/15/1928,,Armenia,Verin Artashat,Marketing Manager,Greenfelder Group
Lisa Ward,06/07/1968,,China,Yunji,Senior Quality Engineer,Ledner Group
Lisa Warren,06/17/1978,,Uzbekistan,Charxin,Director of Sales,"Mayert, Frami and Konopelski"
Lisa Washington,11/30/1918,,Togo,Badou,Compensation Analyst,Gleason LLC
Lisa Watkins,07/12/1976,,Brazil,JaguariÃºna,Recruiter,Stroman-Herzog
Lisa Watson,12/11/1929,,China,Jiulian,Accounting Assistant III,Kilback Inc
Lisa Weaver,03/13/1980,,Portugal,Galamares,Biostatistician IV,Runolfsdottir-Wiza
Lisa Webb,07/26/1979,,Poland,ZagÃ_rnik,Quality Engineer,Hills and Sons
Lisa Welch,02/13/1978,,Afghanistan,AndkhÅçy,Desktop Support Technician,Walter-Connelly
Lisa Wells,10/12/1988,03/19/1990,Sweden,KÃ¶ping,Teacher,Sauer-Romaguera
Lisa West,09/21/1930,,Japan,ÅŒmuta,Financial Advisor,"Waelchi, Olson and Morar"
Lisa Wheeler,12/11/1928,,Macedonia,_œ_°Ñ€_¸____,Operator,Bins-Stokes
Lisa White,10/11/1972,02/07/1990,Philippines,Langob,Associate Professor,Cormier LLC
Lisa Williamson,09/20/1953,,Bulgaria,Devin,Help Desk Operator,Durgan-Hackett
Lisa Willis,04/28/1937,,Guatemala,MorazÃ¡n,Sales Associate,"Leannon, Boyle and Gleichner"
Lisa Wilson,02/26/1968,01/08/2001,Poland,Siemianowice Å_lÄ…skie,Research Nurse,Mueller-Schaefer
Lisa Wood,07/06/1987,,Peru,Lincha,Budget/Accounting Analyst II,Gislason-King
Lisa Woods,12/06/1951,,France,Le Grand-Quevilly,Senior Editor,"Johnson, Gerlach and Bernier"
Lisa Wright,06/19/1917,,China,Sanli,Mechanical Systems Engineer,"Schiller, Jakubowski and Boyer"
Lisa Young,09/01/1927,,Portugal,Ribas,Social Worker,"Satterfield, Kerluke and Lesch"
Lois Adams,08/02/1935,,China,Taoling,Web Developer IV,"Pollich, Cole and Lockman"
Lois Alexander,08/28/1981,,Bosnia and Herzegovina,KovaÄçi,Food Chemist,"Kulas, Fahey and McLaughlin"
Lois Allen,05/19/1967,,Poland,MurÃ_w,VP Product Management,Jerde-Moen
Lois Alvarez,10/17/1977,,Azerbaijan,BakÄ±xanov,Information Systems Manager,Bogan LLC
Lois Anderson,10/13/1928,,Afghanistan,Barg-e MatÄÅl,Sales Associate,Rohan and Sons
Lois Andrews,06/25/1923,,Uruguay,Juan L. Lacaze,Structural Analysis Engineer,Berge Inc
Lois Armstrong,09/15/1947,,China,Wenxian Chengguanzhen,Marketing Manager,Miller LLC
Lois Arnold,09/22/1954,,France,OrlÃ©ans,Desktop Support Technician,Ziemann Group
Lois Baker,12/26/1955,,Saint Lucia,Laborie,Nurse,Bergstrom-Bahringer
Lois Banks,07/07/1935,,Ukraine,Kremenetsâ€™,GIS Technical Architect,Lockman and Sons
Lois Barnes,11/01/1981,,Russia,Spas-Klepiki,Programmer Analyst II,Robel and Sons
Lois Bell,11/21/1924,05/13/2008,Sweden,Tierp,Librarian,Thiel-Mohr
Lois Bennett,05/11/1925,,Brazil,SÃ£o Joaquim,Staff Accountant II,"Gottlieb, Jacobson and Huel"
Lois Berry,08/17/1921,,China,Jintian,Director of Sales,Zieme Inc
Lois Bishop,01/14/1968,,Panama,Guabito,Web Developer IV,Hyatt and Sons
Lois Black,12/14/1982,,Uruguay,La Paz,Tax Accountant,Bogisich-Kunde
Lois Bowman,06/28/1964,,Indonesia,Lebao,Dental Hygienist,Schoen Inc
Lois Boyd,08/16/1944,,Jordan,MalkÄÅ,Sales Representative,Barrows and Sons
Lois Bradley,02/23/1941,,France,Arcueil,Developer III,Cruickshank-Hane
Lois Brooks,05/08/1988,03/23/2011,Poland,Olesno,Project Manager,"Gleichner, Quitzon and Donnelly"
